"スミス,スミッス,スミット"
"ヨーンゾン,ジョンスン,ジョンソン,ジォンソン,ジョーンスン,ユーンソン,ヨーンソン,ヨンソン"
"ウイリアムズ,ウィリアム,ウイリアムス,ウィリアムス,ウィリアムズ,ウィリアミ,ウイリアム,ウィリヤムス,ウィリヤムズ,ウィルヤムス,ウィルリアム,ウィルリヤム,ウィルレム"
"ジョウンズ,ジョンズ,ジョーンズ,ジォーンズ,ジョーンス,ジョンス,ヨネス"
"ブラウン,ブラオン,ブロウン"
"ディビス,デヴィス,デビス,ディヴィス,デイヴィス,デイビス,デーヴィス,デービス,ダヴィ,ダビス,ディーヴーイス,ディーヴィス,デイヴィズ,デイトン,デイビィス,デェヴィス,デェビィス,デェビス,テビス"
"ミルレル,ミレール,ミレル,ミラー,ミイラー,ミラ,ミラア,ミルラー,ミルレー,ミールレル,ミレー"
"ウイルソン,ウィルスン,ウィルソン,ヴィルソン,ウェルソン"
"モア,ムア,ムーア,ムーアー,ムウア,モーア,モアー"
"タイラー,テイラー,テーラー,タイロル,ティラー,テイラ,テイラァ,テイロア,テイロル,テーラ,テーロール,テーロル,テロール"
"アンダスン,アンデション,アンダースン,アンダソン,アンデルソン,アンダーソン,アンダーション,アンダション,アンダース,アンデェション"
"トーマ,トマ,トーマス,トマス,タマス,トゥーマス,トウマス,トオマス,トンマーゾ"
"ジャクスン,ジャクソン,ジャックソン"
"ホワイト,ウァイト,ホアイト,ホライト,ワイト"
"ハリス,ハーリス"
"マッティン,マーティ,マーティー,マルティーン,マーチン,マーティン,マルタン,マルチン,マルティン,マアチン,マチン,マーテン,マルチーン,マルティヌス,マルティーノ,マルテン,メルティン"
"トムスン,トンプスン,トムソン,トンプソン,ソンプソン,タムソン,タムプソン,トムプスン,トムプソン"
"ガルシーア,ガルシア,ガーシア,ガルスィア"
"マーティネス,マルチネス,マルティネス,マーティーニズ,マーティンス,マルチネーゼ,マルティーネス,マルティネズ"
"ロビンスン,ロビンソン,ロバンソン,ロビソン,ロービンソン,ロヒンソン"
"クラーク,クラアク"
"ロドリゲス,ロデリゲス,ロドリーゲス,ロードリゲツ"
"リュイス,ルー,レヴィス,レビス,ルーイス,ルイス,リューイス,リュウィス,ルーイズ,ルイース,ルイズ,ルーウィス,ルゥイス,ルウィス,レイズ,レヴィ,レーヴィス,レウィス,レービス"
"リー,イー,リィー,リイ,レー"
"ウォーカー,ヴァルカー,ウォカー,ウオーカー,ウォーケル,ウォルカー,ワォーカー"
"ホール,ハッル,ハル,ホオル"
"アラン,アレン,アリン,アルレン,アーレン"
"ヤン,ヤング,ヨン,ヨング"
"ヘルナンデス,エルナンデス,フェルナンデス"
"キン,キング"
"ウリクト,ヴリグト,ライト"
"ロペズ,ロペス,ローペッツ"
"ヒル,ヒール,ヒルズ"
"スコット,スッコト"
"グリーン,グリイン"
"アダムス,アダムズ,アダム"
"ベイカー,ベーカー,バカル,バケル,ベーカ"
"ゴンサレス,ゴンザレス,ゴンサーレス,ゴンザーレス"
"ネルスン,ネルソン,ネルゾン"
"カーター,カータ,カルター"
"ミッチェル,マイケル,ミチェル,ミッシェル"
"ペレズ,ペレス,ペレ,ペーレース,ペレーズ,ペレツ,ペレッツ"
"ロバーツ,ロバアツ,ロバート,ロベール,ロベルツ,ロベルト"
"トゥルネル,ターナー,ターナ,タナー,トルネル"
"フィリプス,フィリップス,フィリップ,フィーリプス"
"カンベル,キャンブル,キャンベル,キャムベル,キャンプベル"
"パーカー,パアカー,パーカア,パークル"
"エヴァンス,エヴァンズ,エバンス,エバンズ,イヴァンス,イバンス,エヴァン,エヴアンズ"
"エドワード,エドワーズ,エドアール,エドヴァール,エドワァズ,エドワール,エドワルズ"
"コリンズ,カリンズ,コーリンス,コリンス"
"ステュアート,ステュワート,スチュアート,スチュワート,スチウワート,スチュワード,スチワート,スティワート,ステウァート,ステウァルト,ステューアート,ステューアト,ステワート,ステワード"
"サンチェス,サンチェーズ,サンチェズ"
"モーリス,モリス,モリース"
"ロジャー,ロジャース,ロジャーズ,ローゲル,ロージァーズ,ロージァス,ロージァズ,ロージャース,ロージャーズ,ロージャズ,ローゼルス,ロッジァース"
リード
"コック,クック,クーク,クーケ"
"モーガン,モルガン,モリャン"
ベル
"マーフィ,マーフィー,モルフィ"
"ベイリ,ベーリー,ベイリー,バイリー,バイレイ,ベィリー,ベイリィ,ベイレー,ベーリ,ベーレー"
"リヴェラ,リベーラ,リベラ"
"クーパー,カッパー,クウパア,クーバー,クーパ"
"リチャードスン,リチャードソン"
コックス
"ハウァード,ハウアード,ハウアド,ホワード,ハワード,オヴァール,ハウァド,ハワアド,ハーワード,ハワド,ヒュワード,ホワァド,ホーワード"
"ワード,ウォード,ウァード,ウォオド,ヴォード,ウワード,ワアド,ワォード,ワルド"
"トルレス,トーレス,トレス,トレース"
"ピータースン,ペテルソン,ピーターソン,ペーテション,パターソン,ピタースン,ピターソン,ペーターソン,ペダーソン,ペッテション,ペテッション,ペーテルソン"
"グレー,グレイ"
"ラミレス,ラミレイス,ラミレズ,ラミレツ,ラミレッツ"
"ジェムス,ジャム,ジェイムス,ジェイムズ,ジェームス,ジェームズ,ジェイミズ,ジェイム,ジェィムズ,ジェエムス,ジェムズ,ジームス,ジームズ,ジャウメ,ジャミ,ゼィームス,ゼイムス,ゼエムス,ゼームス,ゼームズ,ヤーメス"
"ワトスン,ウォトソン,ワトソン,ウェッソン,ヴェトゥスン,ウォトスン,ワッスン,ワッソン,ワットサン,ワットソン"
"ブルークス,ブルックス,ブルーク,ブルクス,ブルック,ブロックス"
"ケリ,ケリー,ケーリー,ケリィ,ケレー"
"サンダーズ,サンダース,サンダ,サンダー,サンダア,サーンダズ,ザンダース,サンダル,サンデール,サンデル,サンデルス,ザンデルス,サンドルス"
プライス
"ベネット,ベンネット"
"ウッド,ウッズ,ウード"
"バーンズ,バアーネス,バアネス,バアーンス,バアンス,バーネス,バールンス,バルンス,バーンス"
"ロッス,ロス"
"ヘンダースン,ヘンダソン,ヘンダーソン,ヘンダアスン,ヘンダスン,ヘンデルソン"
"コールマン,コウルマン,コーレマン"
"ジェンキンス,ジェンキンズ"
"ペリ,ペリー,ペェレェ,ペーリー,ペリィ,ペルリ"
"パウェル,ポウエル,ポーエル,パウエル,ポウウェル,ポーウェル"
"ロン,ロング"
"パタースン,パタソン,パターソン,パッターソン"
"ヒュース,ヒューズ,ヒウース,ヒウズ,ヒュー,ヒュウス,ユーグ"
"フローレス,フロレス,フローリス,フローレンス"
"ワシントン,ウォシントン,ワシンタン"
"バトラー,バター,バットラー,バットラア,バトラ,バトラァ,ブツル"
"シモンズ,シモン,セメンズ"
"フォースター,フォスター,フォスタル,ホストル"
"ゴンサレス,ゴンザレス"
"ブライアント,ブライアン,ブライヤント,ブリアント"
"アレキサンデル,アレキサンドル,アレクザンダー,アレグサンダー,アリグザンダー,アレキサンダー,アレクサンダー,アレグザンダー,アレクサンデル,アレクサンドル,アリグザーンダ,アリスター,アルグザンダー,アレキサンダ,アレキザンダー,アレクザンダ,アレグザーンダ,アレグザンダ,アレクサンダル,アレクサンデルス,アレクサンドラ,アレクサンドロス"
"ラツセル,ルス,ラス,ラッセル,ラスセル,ラセル,ルッセル"
"グリファン,グリフィン,グリッヒン,グリッフィン,グリッフイン,グリッフフイン,グリンフィン"
"ディアツ,ディアス,ディアズ,ダイアズ,ディアシュ,ディーアス"
"ヘーズ,ヘイズ,ヘイス,ヘース"
"マイヤー,マイヤース,マイアーズ,マイヤーズ,マイアース,マイアズ,マイヤ,メイヤーズ"
フォード
ハミルトン
"グラム,グレイアム,グレーアム,グラハム,グレアム,グラーム,グレイハム,グレハム,グレーム"
"シュリヴァン,サリヴァン,サリバン,サルリバン"
"ウォーラス,ウォラス,ウオレス,ワレス,ウォリス,ウォーレス,ウォレス,ウァーレス,ウォーリー,ウォーリス,ウオリス,ウォルス,ウォルレイス,ウォレィス,ウォレース,ウォレンス,ワラス,ワルレス,ワーレス,ワレース"
"ウッズ,ウーズ,ウッド"
"コール,コー,コウル,コオル"
"ウェスト,ウエスト,ウィスト,ヴェスト"
"ヨルダン,ジョーダン,ジョルダン,ジョダン,ジョルドン,ホルダン,ヨルダヌス"
"オーウェンス,オーウェンズ,オーエンス,オーエンズ,オーインズ,オーウィンズ,オーウェン,オウェンズ,オウエンズ,オーエン"
"レーノルズ,レノルズ,レナルズ,レイノルズ,レイノールズ,レナレズ"
"フィッシャー,フィシア,フィシアー,フィシャー,フィシャル,フィショル,フィッシァー,フィッシェル,フィッシャ,フィッチャー,フヒッシャル"
"エリス,イリス,エリース"
"ハリスン,ハリソン,ハルリソン"
"ギブスン,ギブソン,ジップソン"
マクドナルド
"クルース,クルーズ,クルツ,クルス,クールズ"
マーシャル
"オーティス,オーティズ,オルティーズ,オルティス,オーティーズ,オティーズ,オーティツ,オルティース,オルティズ"
"ゴメス,ゴメズ,ゴーメッズ,ゴーメッツ"
"マーリ,マーレー,モルレー,マーレイ,マリ,マリー,マレー,マレイ,マアレー,マアレイ,マウレー,マリイ,マレ,マーレィ,マレィ,マレエ,ミュレー,ミュレイ,ムーレー,ムレー,ムーレイ,ムレイ,モーリイ,モルレイ,モーレー"
"フリーマン,フリイマン"
"ウェルス,ウエルズ,ウェルズ,ウェールズ,ヴェルズ,エルス"
"ウェップ,ウエッブ,ウェッブ,ウェブ,ヴェッブ,エッブ"
"シンプスン,シンプソン,シムソン,シムプソン"
"スチーブンス,ステヴァンス,スティーヴンス,スティーヴンズ,スティーブンス,スティーブンズ,シュテフェンス,スチーヴンス,スチーブンズ,スチブンス,スティーヴェンス,スティーヴン,スティヴンス,スティヴンズ,スティーブ,スティーブズ,スティブンス,ステヴァン,ステバンス,ステフェンス"
タッカー
"ポーター,ポオタア,ポータ,ポルタル,ポルテル"
"ハンター,ハンタ"
ヒックス
"クロウフォード,クローフォド,クローフォード,クロフォード,クラウフォード,クラッフオード,クリフォード,クロウフア,クロッフォード"
"ヘンリイ,アンリ,ヘンリ,ヘンリー,アンリー,アンリイ,ヘイニー,ヘヌリ,ヘヌリー,ヘンリィ,ヘンレ,ヘンレー"
"ボイト,ボイド"
"メースン,メイスン,メイソン,メーソン,マソン,マッソン"
"モラーレス,モラレス"
"ケネディー,ケネディ,ケネデー,ケネデイ"
"ワーレン,ワレン,ウォーレン,ウォレン,ウァルレン,ウァレン,ウォリン,ワッレン,ワルレン"
"ディクスン,ディクソン,ジクソン,ジグソン,デクソン"
"ラモ,ラモス,ラーモス"
"レイズ,レイエス,リーイエス,レイェス,レージェス,レジェス"
"バーンズ,バアンス,バアンズ,バーンス"
"ゴートン,ゴールドン,ゴルドン,ゴードン,ゴオドゥン"
"シャウ,ショウ,ショー,ショオ"
"ホウムズ,ホームズ,ホームス,ホルム,ホールムス,ホルムス,ホルムズ"
"ライス,ルイス"
"ロバートスン,ロバートソン,ロバアトソン,ロバトスン,ロバトソン,ロバルトソン,ロボルトソン"
"ハント,ウント"
"ブラック,ブロック"
"ダニエル,ダニエルス,ダニエルズ,ダニェルス"
"パルマー,パーマー,パーマ,パールマー,パルマア,パルメール"
"ミルス,ミルズ,マイルス,ミリス,ミル"
"ニコルス,ニコルズ,ニコラス"
"グラント,グラン,グランド"
ナイト
"ファーガスン,ファーグソン,ファーガソン,ファーグスン,ファルガスン"
"ロース,ローセ,ロゼ,ローズ,ローゼ,オーゼ,ロウズ,ロス,ローゼイ"
"ストーン,ストウン,ストン"
"ホーキンス,ホーキンズ,ホウキンス"
"ダン,デューン"
"パーキンス,パーキンズ,ペーキンス,ペルキンス"
"ハドスン,ハドソン"
"スペンサー,スペンサア,スペンセリアン,スペンセル"
"ガードナー,ガアドナー,ガートナー,ガードナ"
"ステフェンス,スティーヴンス,スティーヴンズ,スティーブンス,スティーブンズ,スチーブンス,スチーブンズ,スティーブン,スティブンス,ステファン,ステファンス,ステファンズ,ステフェン"
"ペイン,ペーン"
"ピエルス,ピアース,ピアス,ピーアス,ピアーズ"
"ベリ,ベリー,ベイリー,ベーリー,ベリィ,ベルリ"
"マシューズ,マシュウズ,マシュース,マチウス,マチュウス,マチュウズ,マチューズ,マッシュース,マッシューズ,マテウス"
"アーノルト,アルノルト,アルノルド,アーノルド,アアノルド,アーノウルド,アーノル,アーノールド,アノルド,アルノード,アルノール,アルノル"
"ヴァグナー,ヴァグネル,ヴァーグナー,ワグネル,ワーグナー,ワグナー,ヴァークナー,ヴァクナー,ウァグナア,ヴァーゲナー,ヴェークナー,バーグナー,ワァグナア,ワーグナア,ワグネ,ワグネー,ワーグネル,ワクネル"
"ウイリス,ウィリス,ウィルス,ビリス"
"ライ,レー,レイ,ラーイ,ラエ,ロイ"
"ウォトキンズ,ワトキンス,ワトキンズ"
"オルスン,オルソン,オウルサン,オールソン"
"キャロル,カアロル,カロル,キャアラル"
"ダンカン,ダンガン,デゥカン,デュンカン"
"スナイダー,シュナイダー,スナイダア"
"ハルト,ハート,ハァト"
"カニンハム,カニンガム,カニングハム,カンニンガム,カンニングハム,コニングハム"
"ブラッドリィ,ブラッドレイ,ブラドリー,ブラッドリ,ブラッドレー,ブラッドリー,ブラッド,ブラドレー,ブラドレイ"
"レイン,レーン,ラーヌ,ラーネ"
"アンドリューズ,アンドルース,アンドリュース,アンドルーズ,アンドリウス,アンドリュー,アンドルー,アンドレウス"
"ルイズ,ルイス,ルイース,ルイーズ"
"ハーパー,ハープル"
"フォクス,フォックス,ファックス,フックス,ホックス"
"ライリ,ライリー,ライリィ,リライ"
"アームストロング,アアムストロング"
"カーペンター,カアペンタ,カアペンター,カァペンタァ"
"ウィーヴァー,ウィーバー,ヴィーヴァー,ウィバー,ウェーバー"
"グリーン,グリイン"
"ロランス,ローレンス,ロレンス,ロウレンス,ロオランス,ロオレンス,ローランス"
エリオット
"チャベス,シャベツ,チャヴェス,チャペス"
"シムス,シムズ"
"オースチン,オースティン,アウスティン,オウスチン,オウステイン,オウステン"
"ペーテルス,ピータース,ピーターズ,ペータース,ピータズ,ペテルス"
"ケリー,ケリ,ケリイ"
"フランクリン,フランクラン"
"ローソン,ロウスン,ロウソン,ロースン"
"フィールズ,フィールド"
"グティエレス,ギタレス,ギュティエレズ,グチエレス,グーティエレズ,グティエーレス"
"ライアン,ハイアン,リャン"
"シュミット,シュミツ,シユミット,シュミード,スミット,スュミット"
"カー,カア,カール,カル"
"バスケス,ヴァスケス"
"カスティージョ,カスティーリョ,カスティリョ,カスティロ,カスティーヨ,カスティジョ,カスティーロ,カステロ"
"ウィラー,ホィーラー,ホイラー,ウィーラー,ホイーラー,ウィーラ,フィーラー,ホィラー,ホイーラ,ホウィーラー"
"チャップマン,チャプマン,シャップマン"
"オリヴァー,オリバー,オリヴァ,オリヴァル,オリヴィエ,オリヴェ,オリヴェル,オリーバー,オリバ,オリバア,オリビエ,オリベル"
"モントゴメリ,モンゴメリ,モントゴメリー,モンゴメリー,マンガメリー,マントゴメリ,モンゴメリィ,モントゴメリイ,モントゴメルー"
"リチャード,リチャーズ,リチャース"
"ウィリアムスン,ウイリアムソン,ウィリアムソン,ウィルリャムソン"
"ジョンストン,ジョンストウン"
バンクス
"メイエ,メイエール,メイエル,メイヤー,マイアー,マイヤー,マイァー,マイイア,マイエル,マイヤァ,マイル,メーアー,メイアー,メイエー,メイェール,メイヤ,メーヤー"
"ビショップ,ビーショップ,ビジョップ,ビショプ"
マッコイ
"ハウエル,オーエル,ハウウェル,ハウェル,ホーウェル,ホウエル"
"アルヴァレス,アルヴァレズ,アルバレズ,アルバレス,アルバレ,アルバレツ"
"モリスン,モリソン,モウリソン"
"ハンゼン,ハンセン,ハンソン"
"フェルナンデス,フェルアンデズ,フェルナンデズ"
"ガーザ,ガルサ,ガルツァ"
"ハーヴェー,ハーベー,ハーヴィ,ハーヴィー,ハーヴェイ,ハービー,ハーベイ,アルビー,ハアヴェー,ハァヴェイ,ハヴエイ,ハービィ,ヘーベイ"
"リトル,リットル"
"バルトン,バートン,バァートン,ブルトン"
"スタン,スタンリ,スタンリイ,スタンレイ,スタンリー,スタンレー,シタンリー,スタンレ"
"グェン,グエン,グュエン,グレン,ニェン"
"ジョルジェ,ゲオルギー,ゲオルク,ゲオルグ,ゲオルゲ,ジョージ,ジョルジュ,ゲオー,ゲオールギー,ゲオルギウス,ゲオルギオス,ゲオルゲー,ジェオルジ,ジェラード,ジェルジ,ジォージ,ジォルジ,ジョウジ,ジョォジ,ジョオジ,ショージ,ジョーシ,ジョージー,ジョージェ,ジョールジ,ジョルジ,ヨルゴス"
"ジャコブス,ヤコブス,ヤコプス,ジェイコブス,ジェイコブズ,ジェーコブズ,ヤーコプス,ジェイコッブス,ジェイコブ,ジェーコブス,ジェコブス,ジャコブ,ジャコブズ,ヤコブ,ヤコブズ"
"レイド,リード,ライト,ライド"
キム
"フラー,ファーラー,ファラー,フューラー,フーラー,フルラー"
リンチ
"ディーン,ダン,ディン,デーン,トゥアヌ"
"ギルベール,ギルベルト,ギルバート,ジルベール,ギルバァト,ギルバード,ギルバト,ギルベルトゥス,ジルベル,ジルベルト"
"ガレット,ギャレット,ガーレット,ガレート,ガレト,ギャルット"
"ロメーロ,ロメロ"
"ウェルシュ,ウェルチ,ウェルシ"
"ラーソン,ラースン,ラルソン"
"フレイジャー,フレーザー,フレージャー,フレイザー,フレイジァ,フレイジアー,フレージア,フレジャー"
"バーク,バーグ,バック,ブルケ,ボルク"
"ハンスン,ハンソン,ハンセン,ヘンソン"
"デー,ディ,デイ"
"メンドーサ,メンドサ,メンドーザ"
"モレーノ,モレノ"
"ボウマン,ボーマン,バウマン"
"メディナ,メディーナ"
"ファウラー,フォーラー,フオラー"
"ブリューワー,ブリュワー,ブルワー,ブルーワー,ブリューア,ブリューアー,ブリュア,ブリューワ,ブルーア,ブルーアー,ブルーワ,ブレーワー"
"ホフマン,ホッフマン"
"カールスン,カールソン"
"シウバ,シルヴァ,シルバ,シルハ,シルワ"
"ピアスン,ピアーソン,ピアソン,ピアースン,ペアーソン,ペアソン"
"ホラント,ホーランド,ホランド"
"ダクラス,ダグラス,ダウグラス,ダッグ,ドゥグラス,ドウグラス,ドゥフラス,ドオウグラス,ドーグラス,ドグラス,ドーグラッス"
"フレーミング,フレミング,フリーマン,フレミン"
"ジャンセン,ジェンセン,イェンセン,イェンゼン,イエンセン,イエンゼン,エンセン"
"ヴァルガス,バルガス,ヴァーガス"
バード
"デイヴィッドスン,ディヴィッドソン,デイヴィドソン,デイビッドソン,デヴィッドスン,デヴィッドソン,デーヴィドソン,デイヴィッドソン,デービッドソン,デビッドソン,ダヴィッドソン,ダーヴィドソン,ダヴィドソン,ダビソン,ダビッドソン,ダービドソン,ダビドソン,デイヴィッスン,ディヴィッドスン,ディヴィドスン,デイヴィドスン,ディヴィドソン,デイビットソン,ディビドソン,デヴィドスン,デヴィドソン,デビッドスン,テビッドソン,デビットソン,デービドソン,デビドソン"
"ホプキンス,ホプキンズ,ホップキンス,ホブキンズ"
"マイ,メイ,メー,メーイ,メエイ"
"テリ,テリー,テリィ"
"エレーラ,ヘレーラ,エレラ,ハーレラ,ヘレラ"
"ウエイド,ワッド,ウェイド,ウェード,ウェィド,ヴェイド,ベイド,ワデ,ワード"
"ソート,ソト,ソトー"
"ウォーターズ,ウォルターズ,ウォートルス,ウォルター,ワルター,ワルタース"
"カーチス,カーティス,キュルチス,キュルティス,クルティス,コルチス"
ニール
"コルドウェル,コールドウェル,カルドウェル"
"ロー,ロウ,レーヴェ,ローウ,ローウェ,ローエ"
"ジェニング,ジェニングス,ジェニングズ,ジェンニングス,ジュニングス"
"バーネット,バネット"
"グレイヴス,グレイヴズ,グレーヴス,グレーヴズ,グレーブス,グレーブズ,グレィヴズ,グレイブス,グレイブズ,グレーウス"
"ヒメネス,ジメネッツ"
"ホートン,ホルトン"
シェルトン
"バーレット,バレット,バッレット,ブレット"

カストロ
"サットン,サトン,スットン"
"グレゴリ,グレゴリイ,グレゴリー,グリゴリー,グリゴーリイ,グレーゴリー,グレコリー,フリホリー,フリホリイ"
"マッキニー,マキニー,マッキンニー,マッキンネィ"
"ルカス,ルーカス,リュカ,リューカス,リュカス,ルック"
"マイルス,マイルズ,ミルズ"
"クレッグ,クレーグ,クレイグ,クライグ,クレイ,グレイグ,クレイッグ"

"チャンバース,チェインバーズ,チェンバース,チェンバーズ,チェイムバーズ,チェインバース,チェムブル,チェムブルス,チェーンバーズ,チャムバー,チャムバース,チャムブル,チャンバー,チャンバーズ,チャンブル,チュンバーズ"
"ホゥルト,ホールト,ホルト,オルト,ホウルト,ホルトー"
"ランベルト,ランベール,ランバート,ラムバアト,ラムバート,ラムベルト,ランバード,ランベルトゥス"
"フレッチャー,フレチャー,フレッチア,フレッチェル,フレッチャ,フレッチャア"
"ウォッツ,ワッツ,ウオッツ"
"ベイツ,ベーツ"
"ヘイル,ヘール,アール,エール"
"ローデス,ロード,ロードス,ローズ,ロウズ"
"ペーニャ,ペナ,ペーナ,ペニャ"
ベック
"ニューマン,ニュウマン"
"ヘインズ,ハイネス,ハインズ,ヘイネス,ヘインス,ヘーンズ"
"マクダニエル,マグダニエル,マックダニエル"
メンデス
ブッシュ
"ヴォーン,ボーン,バーン"
パークス
"ドースン,ドーソン,ダウスン,ダウソン,ドウスン,ドウソン"
"サンチアゴ,サンチャゴ,サンティアーゴ,サンティアゴ,サンチァゴ,サンチェゴ,サンティヤゴ"
"ノーリス,ノリス"
"ハーデイ,アルディ,ハーディー,ハーディ,ハアデ,ハアデー,ハァデイ,ハアーデイ,ハアーディイ,ハアディイ,ハーデー,ハルディ"
"ラヴ,ラブ,ルーヴェ,ローヴェ"
"スティール,スチール"
"カリー,カーリー,カリイ,キューリ,クリ"
"パワーズ,パウアズ,パワース"
シュルツ
"バーカー,バーカ,バーガー,ベーカー"
